,okr_num,lon,lat,provenance
0,KH0255,-77.8043875,-6.7079645,Leymebamba
1,KH0244,-77.8043875,-6.7079645,Leymebamba
2,KH0256,-77.8043875,-6.7079645,Leymebamba
3,KH0254,-77.8043875,-6.7079645,Leymebamba
4,KH0246,-77.8043875,-6.7079645,Leymebamba
5,KH0241,-77.8043875,-6.7079645,Leymebamba
6,KH0243,-77.8043875,-6.7079645,Leymebamba
7,KH0247,-77.8043875,-6.7079645,Leymebamba
8,KH0249,-77.8043875,-6.7079645,Leymebamba
9,KH0248,-77.8043875,-6.7079645,Leymebamba
10,KH0251,-77.8043875,-6.7079645,Leymebamba
11,KH0250,-77.8043875,-6.7079645,Leymebamba
12,KH0238,-77.8043875,-6.7079645,Leymebamba
13,KH0252,-77.8043875,-6.7079645,Leymebamba
14,KH0245,-77.8043875,-6.7079645,Leymebamba
15,KH0239,-77.8043875,-6.7079645,Leymebamba
16,KH0253,-77.8043875,-6.7079645,Leymebamba
17,KH0257,-77.8043875,-6.7079645,Leymebamba
18,KH0237,-77.8043875,-6.7079645,Leymebamba
19,KH0240,-77.8043875,-6.7079645,Leymebamba
20,KH0242,-77.8043875,-6.7079645,Leymebamba
21,KH0219,-75.4997219,-14.3324999,Ica
22,KH0222,-75.4997219,-14.3324999,Ica
23,KH0235,-74.9370623,-14.8277202,Nazca
24,KH0236,-74.9370623,-14.8277202,Nazca
25,KH0110,-76.90088582,-12.2595013,Pachacamac
26,KH0111,-75.6814673,-13.9469721,Ica/Pisco
27,KH0112,-76.90088582,-12.2595013,Pachacamac
28,KH0113,-75.4997219,-14.3324999,Ica
29,KH0114,-76.90088582,-12.2595013,Pachacamac
30,KH0115,-76.90088582,-12.2595013,Pachacamac
31,KH0258,-77.8043875,-6.7079645,Leymebamba
32,KH0116,-76.90088582,-12.2595013,Pachacamac
33,KH0117,-75.4997219,-14.3324999,Ica
34,KH0118,-76.90088582,-12.2595013,Pachacamac
35,KH0119,-75.4997219,-14.3324999,Ica
36,KH0120,-77.1342737,-11.9433384,Marquez
37,KH0121,-77.1342737,-11.9433384,Marquez
38,KH0122,-75.6814673,-13.9469721,Ica/Pisco
39,KH0123,-75.4997219,-14.3324999,Ica
40,KH0124,-76.90088582,-12.2595013,Pachacamac
41,KH0125,-76.90088582,-12.2595013,Pachacamac
42,KH0127,-75.6814673,-13.9469721,Ica/Pisco
43,KH0175,-75.6814673,-13.9469721,Ica/Pisco
44,KH0190,-75.6814673,-13.9469721,Ica/Pisco
45,KH0191,-75.6814673,-13.9469721,Ica/Pisco
46,KH0212,-75.4997219,-14.3324999,Ica
47,KH0213,-75.4997219,-14.3324999,Ica
48,KH0128,-75.6814673,-13.9469721,Ica/Pisco
49,KH0176,-75.6814673,-13.9469721,Ica/Pisco
50,KH0209,-75.4997219,-14.3324999,Ica
51,KH0210,-75.4997219,-14.3324999,Ica
52,KH0211,-75.4997219,-14.3324999,Ica
53,KH0214,-75.4997219,-14.3324999,Ica
54,KH0215,-75.4997219,-14.3324999,Ica
55,KH0129,-75.4997219,-14.3324999,Ica
56,KH0130,-75.4997219,-14.3324999,Ica
57,KH0131,-75.4997219,-14.3324999,Ica
58,KH0132,-76.90088582,-12.2595013,Pachacamac
59,KH0133,-76.90088582,-12.2595013,Pachacamac
60,KH0134,-75.4997219,-14.3324999,Ica
61,KH0135,-76.90088582,-12.2595013,Pachacamac
62,KH0136,-77.0304844,-12.045827,Lima
63,KH0137,-75.4997219,-14.3324999,Ica
64,KH0138,-77.1342737,-11.9433384,Marquez
65,KH0139,-77.1342737,-11.9433384,Marquez
66,KH0140,-76.90088582,-12.2595013,Pachacamac
67,KH0141,-75.4997219,-14.3324999,Ica
68,KH0142,-74.9370623,-14.8277202,Nazca
69,KH0143,-74.9370623,-14.8277202,Nazca
70,KH0144,-75.4997219,-14.3324999,Ica
71,KH0145,-77.0304844,-12.045827,Lima
72,KH0147,-76.90088582,-12.2595013,Pachacamac
73,KH0148,-77.1342737,-11.9433384,Marquez
74,KH0149,-77.1342737,-11.9433384,Marquez
75,KH0150,-76.90088582,-12.2595013,Pachacamac
